,Month_Year,Closing_Price,Volume
0,2014-10-01,16.07699966430664,1528
1,2014-11-01,15.48900032043457,100090
2,2014-12-01,15.5649995803833,4465
3,2015-01-01,17.191999435424805,1005
4,2015-04-01,16.124000549316406,80023
5,2015-05-01,16.68400001525879,2161
6,2015-06-01,15.550999641418457,78411
7,2015-07-01,14.746000289916992,3361
8,2015-08-01,14.57699966430664,75123
9,2015-09-01,14.512999534606934,2419
10,2015-10-01,15.565999984741211,272
11,2015-12-01,13.774999618530273,1926
12,2016-01-01,14.229000091552734,607
13,2016-02-01,14.895999908447266,94150
14,2016-03-01,15.460000038146973,8054
15,2016-04-01,17.788999557495117,105261
16,2016-06-01,18.582000732421875,88915
17,2016-07-01,20.312000274658203,5047
18,2016-08-01,18.621999740600586,63623
19,2016-09-01,19.138999938964844,3410
20,2016-10-01,17.761999130249023,502
21,2016-11-01,16.4060001373291,85972
22,2016-12-01,15.935999870300293,3701
23,2017-02-01,18.420000076293945,105021
24,2017-03-01,18.235000610351562,5475
25,2017-04-01,17.19099998474121,139926
26,2017-05-01,17.368000030517578,6489
27,2017-06-01,16.56800079345703,96012
28,2017-07-01,16.75,3228
29,2017-08-01,17.479999542236328,252176
30,2017-09-01,16.60700035095215,6563
31,2017-11-01,16.381999969482422,121203
32,2017-12-01,17.059999465942383,4048
33,2018-01-01,17.20400047302246,583
34,2018-02-01,16.323999404907227,93548
35,2018-03-01,16.222999572753906,2443
36,2018-05-01,16.402000427246094,6448
37,2018-06-01,16.104000091552734,128191
38,2018-08-01,14.437999725341797,86111
39,2018-09-01,14.623000144958496,4235
40,2018-10-01,14.229000091552734,985
41,2018-11-01,14.093999862670898,109062
42,2018-12-01,15.432999610900879,2502
43,2019-01-01,16.02199935913086,697
44,2019-02-01,15.538000106811523,79282
45,2019-03-01,15.0600004196167,2252
46,2019-04-01,14.899999618530273,97286
47,2019-05-01,14.529999732971191,3104
48,2019-06-01,15.253000259399414,116777
49,2019-07-01,16.34600067138672,2190
50,2019-08-01,18.184999465942383,122362
51,2019-10-01,18.013999938964844,768
52,2019-11-01,16.9689998626709,112925
53,2020-01-01,17.972000122070312,1093
54,2020-02-01,16.386999130249023,110810
55,2020-04-01,14.89799976348877,35732
56,2020-05-01,18.440000534057617,2775
57,2020-06-01,18.541000366210938,52341
58,2020-07-01,24.18899917602539,5095
59,2020-08-01,28.437000274658203,141618
60,2020-09-01,23.433000564575195,5365
61,2020-10-01,23.617000579833984,1416
62,2020-12-01,26.332000732421875,3367
63,2021-01-01,26.899999618530273,1990
64,2021-02-01,26.402000427246094,89121
65,2021-03-01,24.517000198364258,6530
66,2021-04-01,25.85300064086914,71585
67,2021-05-01,27.993000030517578,3822
68,2021-06-01,26.165000915527344,63957
69,2021-07-01,25.527999877929688,4477
70,2021-09-01,22.020999908447266,2334
71,2021-10-01,23.94499969482422,794
72,2021-11-01,22.764999389648438,74999
73,2021-12-01,23.327999114990234,2986
74,2022-01-01,22.395000457763672,1755
75,2022-02-01,24.361000061035156,123756
76,2022-03-01,25.121000289916992,6012
77,2022-04-01,23.040000915527344,47438
78,2022-06-01,20.281999588012695,48744
79,2022-07-01,20.1560001373291,3974
80,2022-08-01,17.761999130249023,40277
81,2022-09-01,18.959999084472656,2160
82,2022-10-01,19.125,978
83,2022-11-01,21.549999237060547,67452
84,2022-12-01,23.86199951171875,4095
85,2023-02-01,20.961000442504883,62739
86,2023-03-01,24.076000213623047,1828
87,2023-04-01,24.999000549316406,74574
88,2023-05-01,23.474000930786133,3312
89,2023-06-01,22.809999465942383,42428
90,2023-07-01,24.854000091552734,2828
91,2023-08-01,24.472000122070312,61075
92,2023-09-01,22.236000061035156,1973
